                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             3.6758e-05,             3.6758e-05,             3.6758e-05
                      3,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             6.0025e-05,             6.0025e-05,             6.0025e-05
                      4,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             8.2302e-05,             8.2302e-05,             8.2302e-05
                      5,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00010359,             0.00010359,             0.00010359
                      6,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00012389,             0.00012389,             0.00012389
                      7,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001432,              0.0001432,              0.0001432
                      8,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00016151,             0.00016151,             0.00016151
                      9,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00017884,             0.00017884,             0.00017884
                     10,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00019518,             0.00019518,             0.00019518
                     11,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00021053,             0.00021053,             0.00021053
                     12,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00022488,             0.00022488,             0.00022488
                     13,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00023825,             0.00023825,             0.00023825
                     14,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00025063,             0.00025063,             0.00025063
                     15,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00026202,             0.00026202,             0.00026202
                     16,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00027241,             0.00027241,             0.00027241
                     17,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00028182,             0.00028182,             0.00028182
                     18,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00029024,             0.00029024,             0.00029024
                     19,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00029767,             0.00029767,             0.00029767
                     20,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0003041,              0.0003041,              0.0003041
                     21,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00030955,             0.00030955,             0.00030955
                     22,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031401,             0.00031401,             0.00031401
                     23,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031748,             0.00031748,             0.00031748
                     24,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031995,             0.00031995,             0.00031995
                     25,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00032144,             0.00032144,             0.00032144
                     26,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00032194,             0.00032194,             0.00032194
                     27,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00032144,             0.00032144,             0.00032144
                     28,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031996,             0.00031996,             0.00031996
                     29,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031749,             0.00031749,             0.00031749
                     30,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00031403,             0.00031403,             0.00031403
                     31,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00030958,             0.00030958,             0.00030958
                     32,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00030413,             0.00030413,             0.00030413
                     33,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002977,              0.0002977,              0.0002977
                     34,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00029028,             0.00029028,             0.00029028
                     35,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00028187,             0.00028187,             0.00028187
                     36,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00027246,             0.00027246,             0.00027246
                     37,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00026207,             0.00026207,             0.00026207
                     38,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00025069,             0.00025069,             0.00025069
                     39,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00023832,             0.00023832,             0.00023832
                     40,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00022495,             0.00022495,             0.00022495
                     41,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0002106,              0.0002106,              0.0002106
                     42,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00019526,             0.00019526,             0.00019526
                     43,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00017893,             0.00017893,             0.00017893
                     44,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,              0.0001616,              0.0001616,              0.0001616
                     45,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00014329,             0.00014329,             0.00014329
                     46,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00012399,             0.00012399,             0.00012399
                     47,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             0.00010369,             0.00010369,             0.00010369
                     48,                      0,                    nan,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,             8.2413e-05,             8.2413e-05,             8.2413e-05
